0.32021 0.32182    3.968e-05 0.29826    0.49373 0.43405    0.66933 0.095358    
0.319 0.31905    9.2638e-05 0.26759    0.51428 0.44011    0.73677 0.048574    
0.32042 0.32324    4.9593e-05 0.30675    0.4934 0.43435    0.67226 0.093883    
0.31842 0.32046    8.2103e-05 0.2749    0.5223 0.44174    0.76194 0.038507    
0.32253 0.31601    7.115e-05 0.28417    0.49716 0.43354    0.66653 0.095939    

0.33362 0.33473    4.0893e-05 0.31544    0.47799 0.43182    0.71388 0.056093    
0.33969 0.33587    0.00025387 0.34736    0.48855 0.42448    0.69965 0.065901    
0.33185 0.33235    1.4948e-05 0.30904    0.49007 0.42628    0.71549 0.053255    
0.32886 0.33357    0.00022221 0.30073    0.48438 0.4411    0.73182 0.043828    
0.33555 0.33304    0.00010588 0.31574    0.49382 0.42969    0.73109 0.045423    

0.32494 0.32779    2.9628e-05 0.19461    0.56335 0.47802    0.78409 0.04602    
0.3315 0.32511    3.839e-05 0.25249    0.5723 0.46902    0.76462 0.055878    
0.30903 0.31201    4.0009e-05 0.19595    0.58163 0.48594    0.83235 0.046304    
0.31363 0.31708    1.1912e-05 0.20599    0.6017 0.47633    0.81125 0.055422    
0.30864 0.30574    2.9436e-05 0.19898    0.58944 0.48108    0.79539 0.043485    

0.32705 0.31926    0.043901 0.51776    0.35681 0.30566    0.47755 0.052976    
0.33267 0.31308    0.05527 0.52982    0.3563 0.30699    0.47994 0.048855    
0.32783 0.32064    0.065299 0.51775    0.35397 0.31077    0.47749 0.054674    
0.31577 0.33441    0.2712 0.35478    0.3408 0.3358    0.45224 0.093867    
0.31663 0.33257    0.087371 0.50023    0.33741 0.34089    0.41852 0.15234    

0.3528 0.35908    4.9227e-05 0.33308    0.42836 0.42817    0.63351 0.06377    
0.35427 0.35645    0.00049337 0.34996    0.43139 0.42604    0.62834 0.07171    
0.35691 0.35981    9.7603e-05 0.31056    0.43161 0.42364    0.66339 0.046819    
0.35332 0.35905    0.13412 0.38453    0.43185 0.42464    0.64753 0.059051    
0.37031 0.35322    0.0052989 0.36968    0.42891 0.41041    0.5506 0.15622    

