0.23457 0.32182    2.9068e-05 0.29826    0.36168 0.43405    0.49031 0.095358    
0.23368 0.31905    6.7862e-05 0.26759    0.37674 0.44011    0.53972 0.048574    
0.23472 0.32324    3.6329e-05 0.30675    0.36144 0.43435    0.49246 0.093883    
0.23326 0.32046    6.0145e-05 0.2749    0.38261 0.44174    0.55816 0.038507    
0.23627 0.31601    5.2121e-05 0.28417    0.36419 0.43354    0.48827 0.095939    

0.24601 0.33473    3.0155e-05 0.31544    0.35247 0.43182    0.52642 0.056093    
0.25049 0.33587    0.00018721 0.34736    0.36026 0.42448    0.51592 0.065901    
0.24471 0.33235    1.1022e-05 0.30904    0.36138 0.42628    0.5276 0.053255    
0.2425 0.33357    0.00016386 0.30073    0.35718 0.4411    0.53965 0.043828    
0.24743 0.33304    7.8074e-05 0.31574    0.36414 0.42969    0.53911 0.045423    

0.20197 0.32779    1.8415e-05 0.19461    0.35015 0.47802    0.48736 0.04602    
0.20604 0.32511    2.3862e-05 0.25249    0.35571 0.46902    0.47525 0.055878    
0.19208 0.31201    2.4867e-05 0.19595    0.36152 0.48594    0.51735 0.046304    
0.19493 0.31708    7.4036e-06 0.20599    0.37399 0.47633    0.50423 0.055422    
0.19184 0.30574    1.8296e-05 0.19898    0.36637 0.48108    0.49438 0.043485    

0.31908 0.31926    0.042832 0.51776    0.34811 0.30566    0.46591 0.052976    
0.32457 0.31308    0.053923 0.52982    0.34762 0.30699    0.46824 0.048855    
0.31984 0.32064    0.063708 0.51775    0.34535 0.31077    0.46586 0.054674    
0.30808 0.33441    0.26459 0.35478    0.3325 0.3358    0.44122 0.093867    
0.30892 0.33257    0.085242 0.50023    0.32919 0.34089    0.40833 0.15234    

0.29611 0.35908    4.1318e-05 0.33308    0.35954 0.42817    0.53173 0.06377    
0.29736 0.35645    0.00041411 0.34996    0.36208 0.42604    0.52739 0.07171    
0.29957 0.35981    8.1922e-05 0.31056    0.36227 0.42364    0.55681 0.046819    
0.29655 0.35905    0.11257 0.38453    0.36247 0.42464    0.54349 0.059051    
0.31081 0.35322    0.0044476 0.36968    0.36 0.41041    0.46214 0.15622    

