0.31794 0.32182    3.9399e-05 0.29826    0.49023 0.43405    0.66458 0.095358    
0.31674 0.31905    9.1981e-05 0.26759    0.51064 0.44011    0.73155 0.048574    
0.31815 0.32324    4.9241e-05 0.30675    0.4899 0.43435    0.6675 0.093883    
0.31617 0.32046    8.1522e-05 0.2749    0.5186 0.44174    0.75654 0.038507    
0.32024 0.31601    7.0646e-05 0.28417    0.49363 0.43354    0.66181 0.095939    

0.36355 0.33473    4.4562e-05 0.31544    0.52087 0.43182    0.77793 0.056093    
0.37016 0.33587    0.00027665 0.34736    0.53238 0.42448    0.76241 0.065901    
0.36162 0.33235    1.6289e-05 0.30904    0.53404 0.42628    0.77968 0.053255    
0.35836 0.33357    0.00024215 0.30073    0.52784 0.4411    0.79748 0.043828    
0.36565 0.33304    0.00011538 0.31574    0.53812 0.42969    0.79668 0.045423    

0.25023 0.32779    2.2816e-05 0.19461    0.43382 0.47802    0.60382 0.04602    
0.25528 0.32511    2.9564e-05 0.25249    0.44072 0.46902    0.58882 0.055878    
0.23798 0.31201    3.081e-05 0.19595    0.44791 0.48594    0.64098 0.046304    
0.24152 0.31708    9.1729e-06 0.20599    0.46336 0.47633    0.62473 0.055422    
0.23768 0.30574    2.2668e-05 0.19898    0.45391 0.48108    0.61252 0.043485    

0.63589 0.31926    0.085358 0.51776    0.69374 0.30566    0.9285 0.052976    
0.64682 0.31308    0.10746 0.52982    0.69277 0.30699    0.93315 0.048855    
0.63741 0.32064    0.12696 0.51775    0.68823 0.31077    0.92839 0.054674    
0.61396 0.33441    0.52729 0.35478    0.66263 0.3358    0.8793 0.093867    
0.61563 0.33257    0.16988 0.50023    0.65602 0.34089    0.81374 0.15234    

0.46487 0.35908    6.4865e-05 0.33308    0.56443 0.42817    0.83476 0.06377    
0.46681 0.35645    0.0006501 0.34996    0.56843 0.42604    0.82794 0.07171    
0.47029 0.35981    0.00012861 0.31056    0.56871 0.42364    0.87412 0.046819    
0.46555 0.35905    0.17672 0.38453    0.56903 0.42464    0.85322 0.059051    
0.48794 0.35322    0.0069821 0.36968    0.56516 0.41041    0.72551 0.15622    

