0.27363 0.31825    4.4283e-05 0.25398    0.46356 0.45857    0.63571 0.073752    
0.27003 0.31387    3.0337e-05 0.23252    0.48496 0.46546    0.70615 0.033401    
0.27386 0.31754    3.8966e-05 0.25842    0.46626 0.4574    0.64919 0.067879    
0.26428 0.3123    8.5761e-05 0.21235    0.49064 0.46951    0.74187 0.018576    
0.26678 0.31233    2.9019e-05 0.24777    0.46017 0.45891    0.62924 0.074853    

0.32998 0.33208    4.0105e-05 0.27786    0.5014 0.44393    0.76588 0.042687    
0.33333 0.33333    9.8548e-05 0.32551    0.49856 0.43931    0.72498 0.054631    
0.32397 0.33316    7.0784e-05 0.2829    0.50723 0.44444    0.75782 0.040842    
0.32285 0.33122    9.6965e-05 0.29352    0.50611 0.44508    0.74683 0.041522    
0.32977 0.3309    0.00015342 0.2942    0.50485 0.44822    0.75974 0.037554    

0.22478 0.33836    3.6234e-05 0.18276    0.39639 0.47676    0.51822 0.040266    
0.21614 0.32895    5.2583e-05 0.19951    0.40709 0.48893    0.5425 0.030049    
0.20949 0.30728    1.7129e-05 0.17771    0.40996 0.49599    0.56273 0.035859    
0.23129 0.34282    1.1956e-05 0.19971    0.42276 0.48941    0.56011 0.049079    
0.20599 0.29018    4.2803e-05 0.16357    0.41145 0.49316    0.55201 0.032914    

0.38575 0.33098    0.0034753 0.21178    0.55039 0.41214    0.80837 0.033735    
0.39839 0.32989    0.0048672 0.22563    0.56497 0.40603    0.82337 0.032431    
0.38358 0.33099    0.0064356 0.22098    0.54164 0.40654    0.80112 0.041954    
0.40756 0.32713    0.22139 0.3041    0.5703 0.3934    0.7824 0.065414    
0.38708 0.33152    0.011736 0.23497    0.52781 0.40655    0.66523 0.12936    

0.34682 0.33934    0.0001702 0.23536    0.50858 0.45753    0.74709 0.043626    
0.34893 0.33777    0.0013302 0.24545    0.51045 0.45796    0.72401 0.05726    
0.34449 0.33567    0.00043608 0.22767    0.50065 0.45495    0.77019 0.031236    
0.34357 0.33603    0.11233 0.31012    0.51063 0.45767    0.75486 0.040994    
0.34377 0.33883    0.0036131 0.25743    0.46736 0.43738    0.58659 0.14425    

