0.2815 0.32182    3.4884e-05 0.29826    0.43405 0.43405    0.58843 0.095358    
0.28044 0.31905    8.1441e-05 0.26759    0.45213 0.44011    0.64772 0.048574    
0.28169 0.32324    4.3599e-05 0.30675    0.43377 0.43435    0.59101 0.093883    
0.27994 0.32046    7.218e-05 0.2749    0.45918 0.44174    0.66985 0.038507    
0.28355 0.31601    6.2551e-05 0.28417    0.43707 0.43354    0.58597 0.095939    

0.30381 0.33473    3.7239e-05 0.31544    0.43528 0.43182    0.65009 0.056093    
0.30934 0.33587    0.00023119 0.34736    0.4449 0.42448    0.63713 0.065901    
0.3022 0.33235    1.3612e-05 0.30904    0.44628 0.42628    0.65156 0.053255    
0.29947 0.33357    0.00020236 0.30073    0.4411 0.4411    0.66643 0.043828    
0.30556 0.33304    9.6416e-05 0.31574    0.4497 0.42969    0.66577 0.045423    

0.2663 0.32779    2.4281e-05 0.19461    0.46168 0.47802    0.64259 0.04602    
0.27167 0.32511    3.1462e-05 0.25249    0.46902 0.46902    0.62662 0.055878    
0.25326 0.31201    3.2788e-05 0.19595    0.47667 0.48594    0.68214 0.046304    
0.25703 0.31708    9.7619e-06 0.20599    0.49311 0.47633    0.66484 0.055422    
0.25294 0.30574    2.4123e-05 0.19898    0.48306 0.48108    0.65184 0.043485    

0.33043 0.31926    0.044355 0.51776    0.36049 0.30566    0.48248 0.052976    
0.33611 0.31308    0.055841 0.52982    0.35999 0.30699    0.4849 0.048855    
0.33122 0.32064    0.065974 0.51775    0.35763 0.31077    0.48243 0.054674    
0.31903 0.33441    0.274 0.35478    0.34433 0.3358    0.45691 0.093867    
0.31991 0.33257    0.088274 0.50023    0.34089 0.34089    0.42285 0.15234    

0.35264 0.35908    4.9206e-05 0.33308    0.42817 0.42817    0.63324 0.06377    
0.35412 0.35645    0.00049316 0.34996    0.4312 0.42604    0.62807 0.07171    
0.35676 0.35981    9.7561e-05 0.31056    0.43142 0.42364    0.6631 0.046819    
0.35316 0.35905    0.13406 0.38453    0.43166 0.42464    0.64725 0.059051    
0.37015 0.35322    0.0052966 0.36968    0.42873 0.41041    0.55037 0.15622    

